Player,Round,Opponent,Opponent_FDR,isHome,Points,minutes,Opponent_PrevWeek,Opponent_FDR_PrevWeek,isHome_PrevWeek,Points_PrevWeek,Opponent_2PrevWeek,Opponent_FDR_2PrevWeek,isHome_2PrevWeek,Points_2PrevWeek,isCaptain,ICT_index,Threat,Influence,Transfers_Balance,Value,BPS,DefenseOdds,OffenceOdds
Gayle,1,4,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,60,0,72.81,34.74
Hazard,1,3,10,2,0,4,14,0,0,0,0,0,0,0,0,0,4.8,10.0,23.8,0,105,21,25.57,10.63
Santana de Moraes,1,1,1,4,0,8,90,0,0,0,0,0,0,0,0,1,2.1,0.0,21.4,0,55,27,6.26,41.49
Fernandes,1,3,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,50.33,104.45
Jakupovic,1,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,88.02,50.76
Kachunga,1,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,47.62,86.22
Hyndman,1,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,37.06,14.08
Palmieri dos Santos,1,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,25.57,10.63
Bailly,1,2,11,3,1,2,90,0,0,0,0,0,0,0,0,0,2.4,0.0,23.4,0,55,13,22.46,10.04
Dier,1,3,15,3,0,1,87,0,0,0,0,0,0,0,0,0,2.8,0.0,22.2,0,50,15,17.33,43.28
Durm,1,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,47.62,86.22
Lamela,1,3,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,65,0,17.33,43.28
Ampadu,1,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,25.57,10.63
Capoue,1,3,3,1,1,2,90,0,0,0,0,0,0,0,0,0,2.2,9.0,9.8,0,50,8,48.48,27.68
Schelotto,1,2,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,40,0,63.12,36.72
Delph,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,6.26,41.49
Schär,1,2,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,72.81,34.74
Tavares,1,3,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,60,0,7.79,-4.02
Balbuena,1,2,12,5,0,-1,90,0,0,0,0,0,0,0,0,0,3.8,17.0,21.4,0,45,16,50.33,104.45
Agosto Ramírez,1,1,7,2,1,3,90,0,0,0,0,0,0,0,0,0,5.0,0.0,49.8,0,45,20,20.97,56.58
Fernández,1,2,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,72.81,34.74
Pereira Gomes,1,3,12,5,0,2,61,0,0,0,0,0,0,0,0,0,4.4,2.0,15.2,0,70,10,50.33,104.45
Llorente,1,4,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,60,0,17.33,43.28
Luiz Rosa,1,3,1,4,0,3,90,0,0,0,0,0,0,0,0,0,1.9,0.0,7.6,0,55,12,6.26,41.49
Benkovic,1,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,88.02,50.76
Hadergjonaj,1,2,6,4,1,1,90,0,0,0,0,0,0,0,0,0,3.0,0.0,11.4,0,45,12,47.62,86.22
Lejeune,1,2,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,72.81,34.74
Andone,1,4,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,63.12,36.72
Ayité,1,3,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,20.97,56.58
Diabaté,1,3,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,88.02,50.76
Femenía Far,1,2,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0.2,0.0,2.2,0,45,5,48.48,27.68
Forster,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,31.42,19.53
Rodrigues de Paula Santos,1,3,11,3,1,2,75,0,0,0,0,0,0,0,0,0,1.0,0.0,4.6,0,60,8,22.46,10.04
de Jesus,1,4,1,4,0,1,11,0,0,0,0,0,0,0,0,0,0.1,0.0,0.2,0,105,1,6.26,41.49
Cahill,1,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,25.57,10.63
Madine,1,4,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0.2,0.0,2.0,0,45,5,78.22,38.45
Bong,1,2,18,3,0,1,64,0,0,0,0,0,0,0,0,0,0.7,0.0,6.2,0,45,10,63.12,36.72
Nkoudou,1,3,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,17.33,43.28
Wijnaldum,1,3,19,3,1,3,90,0,0,0,0,0,0,0,0,0,2.2,13.0,3.8,0,55,7,7.79,-4.02
Deulofeu,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,48.48,27.68
Murray,1,4,18,3,0,2,90,0,0,0,0,0,0,0,0,0,1.1,6.0,3.6,0,65,1,63.12,36.72
Xhaka,1,3,13,4,1,1,69,0,0,0,0,0,0,0,0,0,1.0,0.0,8.8,0,55,10,25.96,80.95
Cunninghamm,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,78.22,38.45
Halford,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,40,0,78.22,38.45
Carrillo,1,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,31.42,19.53
Sigurdsson,1,3,20,3,0,1,43,0,0,0,0,0,0,0,0,0,0.2,2.0,0.0,0,75,0,64.06,32.59
Choudhury,1,3,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,88.02,50.76
Arter,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,78.22,38.45
Kane,1,4,15,3,0,1,90,0,0,0,0,0,0,0,0,0,5.7,26.0,6.6,0,125,5,17.33,43.28
